Date,Open,High,Low,Close,Adj Close,Volume
2013-11-14,56.000000,56.099998,55.650002,55.900002,47.875252,15565000
2013-11-15,56.099998,56.349998,55.900002,56.150002,48.089367,12626000
2013-11-18,56.349998,56.500000,56.200001,56.450001,48.346294,5503000
2013-11-19,56.549999,56.849998,56.549999,56.799999,48.646053,8467000
2013-11-20,56.650002,56.700001,56.349998,56.450001,48.346294,9674000
2013-11-21,56.099998,56.099998,55.400002,55.450001,47.489853,35037000
2013-11-22,55.500000,55.700001,55.500000,55.500000,47.532673,10916000
2013-11-25,56.150002,56.500000,56.150002,56.250000,48.175007,10285000
2013-11-26,56.000000,56.900002,56.000000,56.700001,48.560406,9848000
2013-11-27,56.700001,57.049999,56.650002,57.000000,48.817341,8085000
2013-11-28,57.349998,57.450001,57.200001,57.349998,49.117092,11208000
2013-11-29,57.349998,57.700001,57.250000,57.549999,49.288383,14690000
2013-12-02,57.599998,57.700001,57.349998,57.450001,49.202744,5579000
2013-12-03,57.349998,57.500000,57.150002,57.500000,49.245560,7368000
2013-12-04,57.250000,57.650002,57.200001,57.450001,49.202744,7394000
2013-12-05,57.450001,57.500000,57.000000,57.099998,48.902985,6033000
2013-12-06,57.049999,57.400002,56.900002,57.150002,48.945805,4004000
2013-12-09,57.549999,57.950001,57.549999,57.650002,49.374035,8602000
2013-12-10,57.549999,57.900002,57.549999,57.799999,49.502495,6823000
2013-12-11,57.950001,58.299999,57.650002,57.849998,49.545319,10098000
2013-12-12,57.599998,57.599998,57.200001,57.400002,49.159920,4185000
2013-12-13,57.099998,57.400002,57.049999,57.349998,49.117092,5092000
2013-12-16,57.250000,57.250000,56.700001,56.900002,48.731697,6952000
2013-12-17,57.150002,57.299999,57.099998,57.200001,48.988632,3081000
2013-12-18,57.200001,57.200001,56.849998,57.000000,48.817341,3476000
2013-12-19,57.400002,57.500000,57.150002,57.349998,49.117092,6039000
2013-12-20,57.349998,57.549999,57.200001,57.450001,49.202744,4298000
2013-12-23,57.549999,58.000000,57.549999,57.849998,49.545319,8998000
2013-12-24,57.849998,57.900002,57.700001,57.799999,49.502495,5042000
2013-12-25,57.900002,57.950001,57.750000,57.849998,49.545319,3309000
2013-12-26,57.849998,57.950001,57.799999,57.849998,49.545319,3411000
2013-12-27,57.799999,58.400002,57.799999,58.299999,49.930714,12569000
2013-12-30,58.349998,58.950001,58.349998,58.799999,50.358944,18091000
2013-12-31,59.049999,59.049999,58.700001,58.700001,50.273304,12215000
2014-01-02,58.700001,58.750000,58.349998,58.549999,50.144833,10743000
2014-01-03,58.450001,58.450001,57.700001,57.849998,49.545319,14494000
2014-01-06,57.750000,57.950001,57.549999,57.700001,49.416851,14836000
2014-01-07,57.750000,57.900002,57.700001,57.700001,49.416851,13118000
2014-01-08,57.700001,57.950001,57.700001,57.799999,49.502495,7596000
2014-01-09,57.650002,57.799999,57.400002,57.549999,49.288383,8548000
2014-01-10,57.500000,57.650002,57.500000,57.549999,49.288383,4730000
2014-01-13,58.000000,58.200001,57.799999,57.900002,49.588139,6155000
2014-01-14,57.700001,57.849998,57.599998,57.799999,49.502495,4248000
2014-01-15,57.950001,58.450001,57.950001,58.400002,50.016365,11646000
2014-01-16,58.500000,58.750000,58.500000,58.549999,50.144833,12758000
2014-01-17,58.599998,58.700001,58.299999,58.650002,50.230476,8158000
2014-01-20,58.400002,58.799999,58.400002,58.799999,50.358944,5614000
2014-01-21,58.750000,58.849998,58.500000,58.549999,50.144833,6938000
2014-01-22,58.450001,58.650002,58.349998,58.650002,50.230476,6824000
2014-01-23,58.599998,58.750000,58.349998,58.500000,50.102005,6894000
2014-01-24,58.299999,58.799999,58.299999,58.650002,50.230476,10684000
2014-01-27,58.099998,58.200001,57.450001,57.599998,49.331207,21287000
2014-02-05,56.400002,56.400002,55.599998,55.799999,47.789608,57509000
2014-02-06,55.950001,56.200001,55.799999,56.000000,47.960896,12833000
2014-02-07,56.400002,56.700001,56.299999,56.599998,48.474762,15933000
2014-02-10,56.900002,56.900002,56.599998,56.599998,48.474762,5995000
2014-02-11,56.599998,56.950001,56.599998,56.950001,48.774517,5528000
2014-02-12,57.150002,57.549999,57.150002,57.549999,49.288383,18559000
2014-02-13,57.450001,57.549999,57.349998,57.400002,49.159920,8206000
2014-02-14,57.700001,58.200001,57.700001,57.950001,49.630962,22295000
2014-02-17,58.099998,58.250000,57.950001,57.950001,49.630962,15396000
2014-02-18,57.950001,58.150002,57.799999,58.150002,49.802246,13057000
2014-02-19,58.099998,58.200001,58.049999,58.150002,49.802246,13350000
2014-02-20,58.049999,58.049999,57.599998,57.650002,49.374035,13707000
2014-02-21,58.400002,58.450001,58.200001,58.200001,49.845074,17229000
2014-02-24,58.400002,58.450001,57.799999,57.900002,49.588139,7356000
2014-02-25,58.250000,58.250000,57.950001,58.150002,49.802246,8614000
2014-02-26,58.000000,58.500000,57.950001,58.400002,50.016365,8945000
2014-02-27,58.299999,58.450001,58.299999,58.299999,49.930714,3660000
2014-03-03,57.799999,58.150002,57.500000,57.950001,49.630962,7994000
2014-03-04,57.900002,58.000000,57.700001,57.700001,49.416851,6154000
2014-03-05,58.200001,58.450001,58.200001,58.299999,49.930714,6889000
2014-03-06,58.349998,59.200001,58.349998,59.150002,50.658695,26212000
2014-03-07,59.299999,59.799999,59.299999,59.400002,50.872810,30371000
2014-03-10,59.299999,59.400002,58.950001,59.049999,50.573055,7894000
2014-03-11,59.250000,59.450001,59.150002,59.349998,50.829983,4947000
2014-03-12,58.849998,59.000000,58.750000,58.799999,50.358944,2660000
2014-03-13,59.250000,59.799999,59.250000,59.750000,51.172565,25655000
2014-03-14,59.150002,59.299999,59.099998,59.150002,50.658695,13438000
